files,question,predicted_sources,recall@10
['src/components/PreferenceForm/components/SelectDisplay/index.vue'],How does the SelectDisplay component handle the device options when retrieving display IDs?,"['src/components/PreferenceForm/components/SelectVideoCodec/index.vue', 'src/components/PreferenceForm/components/SelectDisplay/index.vue', 'src/components/PreferenceForm/components/SelectAudioCodec/index.vue', 'electron/resources/extra/linux/scrcpy/scrcpy', 'electron/resources/extra/win/scrcpy/scrcpy.exe', 'src/pages/device/components/MoreDropdown/index.vue', 'src/store/preference/model/device/index.js', 'src/components/PreferenceForm/components/helper.js', 'src/locales/languages/zh-CN.json', 'src/pages/device/index.vue']",1.0
"['electron/exposes/adb/helpers/index.js', 'electron/exposes/adb/index.js']",How does the repository handle IPv6 addresses in ADB commands?,"['electron/resources/extra/linux/android-platform-tools/adb', 'electron/resources/extra/mac/android-platform-tools/adb', 'electron/resources/extra/win/android-platform-tools/adb.exe', 'electron/resources/extra/win/scrcpy/scrcpy.exe', 'electron/exposes/adb/index.js', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/win/gnirehtet/gnirehtet.exe', 'electron/resources/extra/mac/android-platform-tools/fastboot', 'electron/resources/extra/linux/android-platform-tools/lib64/libc++.so']",0.5
['electron/helpers/edger/index.js'],How does the edge hiding and snapping mechanism work for a window instance?,"['electron/main.js', 'electron/helpers/edger/index.js', 'electron/helpers/single.js', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'src/locales/languages/en-US.json', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/mac/android-platform-tools/adb', 'src/locales/languages/ru-RU.json', 'electron/resources/extra/linux/scrcpy/scrcpy', 'src/locales/languages/zh-CN.json']",1.0
"['README-CN.md', 'README-RU.md', 'README.md']",Unable to detect device,"['electron/resources/extra/win/android-platform-tools/adb.exe', 'electron/resources/extra/win/scrcpy/scrcpy.exe', 'electron/resources/extra/mac/android-platform-tools/adb', 'electron/resources/extra/linux/scrcpy/scrcpy', 'electron/resources/extra/linux/android-platform-tools/adb', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'src/locales/languages/en-US.json', 'README.md', 'electron/resources/extra/win/scrcpy/libusb-1.0.dll']",0.3333333333333333
['src/pages/device/components/MirrorAction/index.vue'],What functionality does the component provide for mirroring a device's screen?,"['src/locales/languages/zh-CN.json', 'electron/resources/extra/linux/scrcpy/scrcpy', 'src/locales/languages/en-US.json', 'src/locales/languages/zh-TW.json', '.git/index', 'electron/resources/extra/win/scrcpy/scrcpy.exe', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'CHANGELOG.md', 'README-CN.md']",0.0
"['electron/exposes/scrcpy/helper.js', 'electron/helpers/store.js', 'src/store/preference/helpers/index.js', 'src/store/preference/index.js']",How is the functionality for storing and managing Scrcpy IP type configuration implemented?,"['develop.md', 'control/index.html', 'index.html', 'README-RU.md', 'electron/resources/extra/linux/scrcpy/scrcpy.1', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy.1', 'electron/resources/extra/mac-x64/scrcpy/scrcpy.1', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'electron/resources/extra/linux/scrcpy/scrcpy']",0.0
['src/locales/languages/zh-TW.json'],What are the common user interface labels and messages implemented in Traditional Chinese?,"['.git/objects/pack/pack-2dc78f5c5e41711a8fe347cab1396b86e0d15302.pack', 'src/store/preference/model/common/index.js', 'electron/resources/extra/linux/android-platform-tools/sqlite3', 'electron/resources/extra/mac/android-platform-tools/sqlite3', 'electron/resources/extra/linux/android-platform-tools/adb', 'electron/resources/extra/win/android-platform-tools/adb.exe', 'electron/resources/extra/linux/scrcpy/scrcpy', 'electron/resources/extra/win/android-platform-tools/sqlite3.exe', 'electron/resources/extra/linux/android-platform-tools/mke2fs']",0.0
['src/pages/device/index.vue'],How is the wireless connection screen layout managed and updated across the application?,"['CHANGELOG.md', 'electron/resources/extra/linux/scrcpy/scrcpy', 'README-CN.md', 'README.md', 'src/locales/languages/zh-CN.json', 'src/locales/languages/zh-TW.json', 'README-RU.md', 'electron/main.js', 'src/locales/languages/ru-RU.json', 'src/layouts/index.vue']",0.0
['src/pages/device/components/WirelessGroup/PairDialog/index.vue'],How is the wireless pairing dialog functionality implemented?,"['.git/index', 'src/pages/device/components/WirelessGroup/PairDialog/index.vue', 'src/components/TaskDialog/index.vue', 'CHANGELOG.md', 'src/components/TaskListDialog/index.vue', 'src/locales/languages/zh-CN.json', 'src/pages/device/components/MoreDropdown/components/Custom/components/DeployDialog/index.vue', 'src/pages/device/components/WirelessGroup/index.vue', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/mac-x64/scrcpy/scrcpy']",1.0
['src/pages/about/components/SponsorDialog/index.vue'],How is the sponsor dialog implemented to display sponsorship images dynamically?,"['src/pages/about/components/SponsorDialog/index.vue', 'src/composables/index.js', 'electron/resources/extra/linux/android-platform-tools/adb', 'electron/resources/extra/mac/android-platform-tools/adb', 'electron/resources/extra/win/android-platform-tools/adb.exe', 'src/plugins/element-plus/expands/EleMessageLoading/index.vue', 'src/components/ControlBar/FileManage/FileDialog/index.vue', '.git/index', 'electron/resources/extra/linux/scrcpy/scrcpy', 'src/store/preference/model/video/index.js']",1.0
